id;current_role;other_role_specified;current_salary;low_range;high_range;salary_average
62a37b7db4da29969c636123;Student/Looking/None;NA;20000;,00;40,00;20,00
62a37bab2e54c9003e53a10a;Data Analyst;NA;75500;66,00;85,00;75,50
62a37c50cec54911e9cacee2;Student/Looking/None;NA;20000;,00;40,00;20,00
62a37d41bae91e4b8b8369f7;Data Analyst;NA;20000;,00;40,00;20,00
62a37f8db4da29969c6367bf;Data Analyst;NA;75500;66,00;85,00;75,50
62a37ff3bae91e4b8b836ed0;Student/Looking/None;NA;20000;,00;40,00;20,00
62a38023575fa3a5ae89339e;Student/Looking/None;NA;20000;,00;40,00;20,00
62a38153cec54911e9cad855;Data Analyst;NA;20000;,00;40,00;20,00
62a381d024a262602738ab19;Data Analyst;NA;53000;41,00;65,00;53,00
62a38227bae91e4b8b837235;Data Analyst;NA;137500;125,00;150,00;137,50
62a38489cf25554317309145;Data Scientist;NA;137500;125,00;150,00;137,50
62a384f0cec54911e9cadd6f;Data Analyst;NA;20000;,00;40,00;20,00
62a385480f8c8599d5afa5c6;Data Engineer;NA;20000;,00;40,00;20,00
62a3856218134ddc75cf1ee0;Data Analyst;NA;75500;66,00;85,00;75,50
62a385c40f8c8599d5afa6cf;Data Analyst;NA;75500;66,00;85,00;75,50
62a385ddbae91e4b8b837855;Data Analyst;NA;53000;41,00;65,00;53,00
62a385e7b4da29969c6372ab;Database Developer;NA;53000;41,00;65,00;53,00
62a386dfcec54911e9cae1d3;Data Analyst;NA;95500;86,00;105,00;95,50
62a3870bbc6861bf31775841;Data Analyst;NA;20000;,00;40,00;20,00
62a38733f8d5efcc22f859fc;Data Analyst;NA;20000;,00;40,00;20,00
62a387e6575fa3a5ae8940a1;Data Analyst;NA;20000;,00;40,00;20,00
62a388d524a262602738b869;Student/Looking/None;NA;20000;,00;40,00;20,00
62a38975b4da29969c637830;Data Analyst;NA;20000;,00;40,00;20,00
